event_key,split,event_id,label,source_exists,source_text_len,source_has_url,tree_exists,source_user_id,source_tweet_id_from_tree,id_match_event_vs_tree_source,source_delay_min_raw,source_delay_min_clean,n_nodes,n_edges,n_users,min_delay_raw,max_delay_raw,min_delay_clean,max_delay_clean,duration_min_clean,has_negative_delay,malformed_lines,invalid_delay_values,dropped_self_loops,dropped_duplicate_edges,tree_file,source_text
twitter15__80080680482123777,twitter15,80080680482123777,false,True,59,True,True,972651,80080680482123777,True,0.0,0.00,101,100,101,0.00,938.83,0.00,938.83,938.83,False,0,0,0,0,data_raw/Twitter15_16_dataset/twitter15/tree/80080680482123777.txt,seriously? racist mcdonald’s sign is obviously a hoax - URL
twitter15__80084555733803009,twitter15,80084555733803009,false,True,91,True,True,972651,80084555733803009,True,0.0,0.00,166,165,166,0.00,9492.80,0.00,9492.80,9492.80,False,0,0,0,0,data_raw/Twitter15_16_dataset/twitter15/tree/80084555733803009.txt,hoax: mcdonald's issues official statement on racist sign [updated] URL #seriouslymcdonalds
twitter15__91728807081426944,twitter15,91728807081426944,false,True,138,False,True,170886667,91728807081426944,True,0.0,0.00,839,850,839,0.00,2675420.55,0.00,2675420.55,2675420.55,False,0,0,0,4,data_raw/Twitter15_16_dataset/twitter15/tree/91728807081426944.txt,"#psa please do not drink any pepsi soda, a worker from that company has put blood contaminated with aids inside the bottles!!! please rt!!"
twitter15__265953285247209472,twitter15,265953285247209472,false,True,128,False,True,39364684,265953285247209472,True,0.0,0.00,212,211,212,0.00,4166.57,0.00,4166.57,4166.57,False,0,0,0,6,data_raw/Twitter15_16_dataset/twitter15/tree/265953285247209472.txt,deep-fried left wings demo-crab cakes barack-amole & chips malia quesadillas hawaiian pizza sloppy joe bidens obamacare-rot cake
twitter15__273182568298450945,twitter15,273182568298450945,false,True,63,True,True,14075928,273182568298450945,True,0.0,0.00,354,353,354,0.00,1582487.73,0.00,1582487.73,1582487.73,False,0,0,0,0,data_raw/Twitter15_16_dataset/twitter15/tree/273182568298450945.txt,42 million dead in bloodiest black friday weekend on record URL
twitter15__273278761909239808,twitter15,273278761909239808,false,True,63,True,True,14075928,273278761909239808,True,0.0,0.00,386,385,386,0.00,19972.57,0.00,19972.57,19972.57,False,0,0,0,0,data_raw/Twitter15_16_dataset/twitter15/tree/273278761909239808.txt,42 million dead in bloodiest black friday weekend on record URL
twitter15__295152287901417472,twitter15,295152287901417472,true,True,85,True,True,20003448,295152287901417472,True,0.0,0.00,103,102,103,0.00,317035.95,0.00,317035.95,317035.95,False,0,0,0,5,data_raw/Twitter15_16_dataset/twitter15/tree/295152287901417472.txt,#prayforchristopher 5k run .. well we are walking lol @savannahn_2012 @lemongella URL
twitter15__295944137948151809,twitter15,295944137948151809,false,True,60,True,True,1109500842,295944137948151809,True,0.0,0.00,1991,2000,1991,0.00,1440124.52,0.00,1440124.52,1440124.52,False,0,0,0,14,data_raw/Twitter15_16_dataset/twitter15/tree/295944137948151809.txt,a photo of black nurses saving the life of a kkk member. URL
twitter15__318263294098030593,twitter15,318263294098030593,false,True,60,True,True,1098364164,318263294098030593,True,0.0,0.00,1330,1335,1330,0.00,1144468.33,0.00,1144468.33,1144468.33,False,0,0,0,11,data_raw/Twitter15_16_dataset/twitter15/tree/318263294098030593.txt,a photo of black nurses saving the life of a kkk member. URL
twitter15__319166636902998016,twitter15,319166636902998016,false,True,60,True,True,356707195,319166636902998016,True,0.0,0.00,303,303,303,0.00,481278.13,0.00,481278.13,481278.13,False,0,0,0,1,data_raw/Twitter15_16_dataset/twitter15/tree/319166636902998016.txt,a photo of black nurses saving the life of a kkk member. URL
